,Plateau
109,2.48e-07
110,3.0112e-07
111,2.768e-07
112,2.5728e-07
113,2.3744e-07
114,3.1616e-07
115,4.3487999999999993e-07
116,2.784e-07
117,5.0272e-07
118,4.0543999999999996e-07
119,2.4224e-07
120,4.0992000000000006e-07
121,3.2352e-07
122,2.928e-07
123,2.7104e-07
124,2.7456e-07
125,4.0224000000000003e-07
126,5.948800000000001e-07
127,2.3808e-07
128,2.3296e-07
129,4.1760000000000003e-07
130,2.4704e-07
131,3.9423999999999996e-07
132,3.1808e-07
133,4.8384e-07
134,4.940799999999999e-07
135,3.3088000000000006e-07
136,4.8128e-07
137,2.3392000000000002e-07
138,5.827200000000001e-07
139,4.9056e-07
140,2.6368e-07
141,2.7584e-07
142,3.0304000000000005e-07
143,1.776e-07
144,1.7728e-07
145,1.7823999999999999e-07
146,1.8528e-07
147,1.8752e-07
148,1.824e-07
149,1.8240000000000002e-07
150,1.8495999999999998e-07
151,1.8368e-07
152,1.8592e-07
153,1.8784000000000002e-07
154,1.8752e-07
155,1.8912e-07
156,1.8048e-07
157,1.7823999999999999e-07
158,1.9263999999999998e-07
159,1.8624e-07
160,1.9616e-07
161,1.7952e-07
162,1.9072e-07
163,1.8464e-07
164,
165,1.8912000000000002e-07
166,1.8079999999999998e-07
167,1.8592e-07
168,1.8719999999999998e-07
169,1.9039999999999998e-07
170,1.84e-07
171,1.8912e-07
172,1.8240000000000002e-07
173,1.984e-07
174,1.9872e-07
175,1.9008e-07
176,1.9936e-07
177,1.9712e-07
178,1.968e-07
179,1.8528e-07
180,1.9008e-07
181,1.936e-07
182,1.904e-07
183,1.8815999999999999e-07
184,1.7952e-07
185,1.9968e-07
186,1.9328e-07
187,1.9776e-07
188,1.9487999999999998e-07
189,2.0288e-07
190,1.9583999999999999e-07
191,2.0255999999999998e-07
192,1.92e-07
193,1.9968e-07
194,1.9776e-07
195,2e-07
196,1.9456e-07
197,2.0896e-07
198,1.8688e-07
199,2.0224e-07
200,2.064e-07
201,1.9776e-07
202,2.0288e-07
203,2.1696e-07
204,1.9296e-07
205,2.1792000000000003e-07
206,2.128e-07
207,2.2048e-07
208,1.9807999999999998e-07
209,2.1183999999999997e-07
210,2.144e-07
211,1.8944e-07
212,1.8656e-07
213,1.9296e-07
214,2e-07
215,1.936e-07
216,1.9936e-07
217,2.0256e-07
218,2.0511999999999997e-07
219,2.1184e-07
220,2.5760000000000003e-07
221,1.8912e-07
222,2.0896e-07
223,2.1247999999999998e-07
224,1.9359999999999999e-07
225,1.8144e-07
226,2.1631999999999997e-07
227,2.1696e-07
228,2.304e-07
229,2.0384e-07
230,2.2463999999999998e-07
231,2.0288e-07
232,1.9583999999999999e-07
233,2.0128e-07
234,2.1408000000000002e-07
235,2.6400000000000003e-07
236,2.2368e-07
237,2.6015999999999997e-07
238,2.3551999999999998e-07
239,1.9936e-07
240,2.16e-07
241,2.2592000000000003e-07
242,2.3103999999999998e-07
243,2.1087999999999997e-07
244,2.2368e-07
245,1.9936e-07
246,2.4672000000000003e-07
247,3.0272e-07
248,2.4000000000000003e-07
249,2.9216e-07
250,2.2048000000000003e-07
251,2.4031999999999997e-07
252,2.3296e-07
253,2.7456000000000004e-07
254,2.6944e-07
255,2.3776e-07
256,3.1040000000000003e-07
257,2.256e-07
258,3.2256000000000005e-07
259,2.1856000000000002e-07
260,2.2752e-07
261,3.9167999999999997e-07
262,3.8848e-07
263,3.6992000000000007e-07
264,2.4576e-07
265,2.272e-07
266,2.048e-07
267,2.1247999999999998e-07
268,2.0928000000000003e-07
269,2.8832e-07
270,2.7872e-07
271,2.2144e-07
272,2.1376000000000003e-07
273,2.6432000000000003e-07
274,3.5711999999999996e-07
275,2.4160000000000005e-07
276,2.4e-07
277,1.984e-07
278,1.9552e-07
279,2.0799999999999998e-07
280,2.3744000000000001e-07
281,2.2176e-07
282,2.9088e-07
283,2.7584e-07
284,2.1440000000000001e-07
285,3.1328e-07
286,2.8864e-07
287,2.1728e-07
