,Count,Discharge_Voltage
809,1.0,
810,1.0,
811,3.0,
812,2.0,
813,2.0,
814,3.0,
815,1.0,
816,2.0,
817,2.0,
818,1.0,
819,2.0,
820,2.0,
821,6.0,
822,2.0,
823,1.0,
824,1.0,
825,2.0,
826,3.0,
827,1.0,
828,2.0,
829,4.0,
830,8.0,
831,2.0,
832,1.0,
833,1.0,
834,3.0,
835,1.0,
836,1.0,
837,1.0,
838,1.0,
839,1.0,
840,2.0,
841,1.0,
842,1.0,
843,1.0,
844,1.0,
845,2.0,
846,1.0,
847,1.0,
848,2.0,
849,3.0,
850,1.0,
851,2.0,
852,1.0,
853,1.0,
854,1.0,
855,1.0,
856,1.0,
857,1.0,
858,1.0,
859,1.0,
860,1.0,
861,3.0,
862,3.0,
863,1.0,
864,2.0,
865,2.0,
866,1.0,
867,1.0,
868,1.0,
869,1.0,
870,1.0,
871,1.0,
872,1.0,
873,5.0,
874,2.0,
875,2.0,
876,1.0,
877,4.0,
878,1.0,
879,1.0,
880,1.0,
881,1.0,
882,1.0,
883,2.0,
884,1.0,
885,1.0,
886,1.0,
887,1.0,
888,1.0,
889,1.0,
890,6.0,
891,1.0,
892,2.0,
893,1.0,
894,1.0,
895,3.0,
896,1.0,
897,1.0,
898,1.0,
899,3.0,
900,1.0,
901,2.0,
902,2.0,
903,2.0,
904,2.0,
905,1.0,
906,1.0,
907,1.0,
908,3.0,
909,1.0,
910,2.0,
911,1.0,
912,1.0,
913,1.0,
914,2.0,
915,1.0,
916,1.0,
917,1.0,
918,2.0,
919,1.0,
920,1.0,
921,1.0,
922,2.0,
923,1.0,
924,1.0,
925,4.0,
926,1.0,
927,1.0,
928,1.0,
929,1.0,
930,1.0,
931,1.0,
932,1.0,
933,3.0,
934,1.0,
935,3.0,
936,1.0,
937,1.0,
938,4.0,
939,2.0,
940,1.0,
941,1.0,
942,1.0,
943,1.0,
944,1.0,
945,1.0,
946,1.0,
947,1.0,
948,3.0,
949,3.0,
950,1.0,
951,1.0,
952,1.0,
953,1.0,
954,1.0,
955,1.0,
956,1.0,
957,1.0,
958,1.0,
959,1.0,
960,1.0,
961,2.0,
962,1.0,
963,1.0,
964,1.0,
965,1.0,
966,1.0,
967,2.0,
968,1.0,
969,3.0,
970,3.0,
971,3.0,
972,1.0,
973,1.0,
974,1.0,
975,2.0,
976,1.0,
977,1.0,
978,1.0,
979,1.0,
980,2.0,
981,2.0,
982,1.0,
983,1.0,
984,2.0,
985,1.0,
986,1.0,
987,1.0,
988,4.0,
989,2.0,
990,1.0,
991,1.0,
992,1.0,
993,1.0,
994,1.0,
995,1.0,
996,1.0,
997,1.0,
998,1.0,
999,2.0,
1000,1.0,
1001,2.0,
1002,1.0,
1003,1.0,
1004,3.0,
1005,2.0,
1006,1.0,
1007,1.0,
1008,1.0,
1009,1.0,
1010,2.0,
1011,2.0,
1012,2.0,
1013,1.0,
1014,3.0,
1015,1.0,
1016,1.0,
1017,1.0,
1018,1.0,
1019,1.0,
1020,1.0,
1021,1.0,
1022,1.0,
1023,1.0,
1024,1.0,
1025,2.0,
1026,1.0,
1027,2.0,
1028,1.0,
1029,1.0,
1030,2.0,
1031,1.0,
1032,1.0,
1033,4.0,
1034,1.0,
1035,1.0,
1036,1.0,
1037,1.0,
1038,2.0,
1039,1.0,
1040,1.0,
1041,1.0,
1042,1.0,
1043,2.0,
1044,1.0,
1045,1.0,
1046,2.0,
1047,1.0,
1048,1.0,
1049,1.0,
1050,1.0,
1051,1.0,
1052,2.0,
1053,1.0,
1054,1.0,
1055,1.0,
1056,1.0,
1057,1.0,
1058,1.0,
1059,3.0,
1060,2.0,
1061,1.0,
1062,1.0,
1063,2.0,
1064,2.0,
1065,2.0,
